1,ver articulos
2,crear articulos
3,editar articulos
4,Visualizar Grupos
5,Crear Grupos
6,Editar Grupos
7,Visualizar Responsables
8,Crear Responsables
9,Editar Responsables
10,Visualizar Movimientos
11,Crear Movimientos
12,Editar Movimientos
13,Visualizar Reportes
14,Crear Reportes
15,Visualizar Historial
16,ver cordinadores
17,crear coordinadores (solo super admin)
18,editar coordinadores (solo super admin)
99,super adminisrador
